vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,startup_seconds,steady_wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[12.633742312988034,12.631519729999127,12.63220424199244]","[0.9533314349828288,0.9525835469830781,0.9525793719803914]","[11.680410878005205,11.678936183016049,11.679624870012049]",12.63220424199244,12.632488761659866,0.0011382804428210016,1.0,8192,64051,64834,17032,5617370535
False,True,3,"[14.385746967018349,14.446694658981869,14.31171884998912]","[0.9547788160271011,0.9549168769735843,1.004354220989626]","[13.430968150991248,13.491777782008285,13.307364628999494]",14.385746967018349,14.381386825329779,0.06759345663575783,0.8781055492602373,8192,61169,61209,17032,5617377397
True,False,3,"[5.272670135978842,5.322766692988807,5.2467196640209295]","[1.153414728003554,1.2032792000100017,1.2035904040094465]","[4.119255407975288,4.119487492978806,4.043129260011483]",5.272670135978842,5.280718830996193,0.038657130937539315,2.395788834919661,1024,51974,51989,17032,5617369518
True,True,3,"[5.387768366985256,5.328372120013228,5.40700296999421]","[1.2047846489876974,1.1542141670070123,1.2049753030005377]","[4.182983717997558,4.174157953006215,4.202027666993672]",5.387768366985256,5.374381152330898,0.04098921540276564,2.3446078935759505,1024,39967,46875,17032,5617377397
