critical_path_event_acceleration,active_dependency_coordination,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_all_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,control_plane_records,dependency_updates,simulated_makespan_ns,network_completion_count
false,false,3,99.56169062599656,99.87796507200498,0.7765693942875294,1.0,32768,1117671,1119194,73554,0,1006360865727,4758
false,true,3,110.62472435997915,110.64353005731634,0.6247854035062128,0.89999492610727,32768,1111667,1111885,74579,1019,1006360868792,4758
true,false,3,47.689496406004764,47.72224707366937,0.10640576433957695,2.08770689835719,4096,1069305,1069493,16274,0,1006360860972,4758
true,true,3,55.74824139600969,55.81510814133799,0.2561861837189611,1.7859162573175433,4096,1066834,1067048,17297,1019,1006360868792,4758
