vertical_optimization,horizontal_optimization,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,91.15321980899898,92.2365300176704,3.558008550500299,1.0,32768,1117671,1119194,4758,1006360865727
False,True,3,126.5272742829984,126.8079136723245,0.9335828914348386,0.7204234843874079,32768,1100923,1102190,4758,1006360889632
True,False,3,38.027834681997774,39.84600879266509,3.2808570404083808,2.397013150268862,4096,1069305,1069493,4758,1006360860972
True,True,3,57.805354144016746,57.776537362010764,0.21181125016401744,1.576899253690222,4096,1056096,1057337,4758,1006360889632
