vertical_optimization,horizontal_optimization,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,10.829908482992323,10.8270630093272,0.0548626835223,1.0,8192,51818,52436,10731,4967950649
False,True,3,12.485688659013249,12.530869331007125,0.09613011429731978,0.8673857549038242,8192,48855,48897,10731,4967961159
True,False,3,4.689393748005386,4.696312697342364,0.02260537813346738,2.3094474605803317,1024,39440,39459,10731,4967950325
True,True,3,4.860590227995999,4.847975943674101,0.03167823290852934,2.22810563635138,1024,29782,34563,10731,4967961159
