vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[1.7675034329877235,1.817389079980785,1.820014494995121]",1.817389079980785,1.8016356693212099,0.029588517516818878,1.0,1024,9315,9435,840,4711358190
False,True,3,"[1.76708141900599,1.7671388490125537,1.7673905399860814]",1.7671388490125537,1.7672036026682083,0.00016441934808181894,1.0284359268069458,1024,5028,5047,840,4711358995
True,False,3,"[1.467683961003786,1.4162600199924782,1.4174675440008286]",1.4174675440008286,1.4338038416656975,0.029347255294661156,1.2821380550634482,128,7898,7913,840,4711358182
True,True,3,"[1.3664156460145023,1.3179887239821255,1.3664472240197938]",1.3664156460145023,1.3502838646721405,0.027968416713026533,1.3300411813064796,128,2706,3255,840,4711358995
