vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,startup_seconds,steady_wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[8.978454680007417,9.128452106990153,9.040492971980711]","[0.8032526609895285,0.8026840320089832,0.8026384259865154]","[8.175202019017888,8.32576807498117,8.237854545994196]",9.040492971980711,9.04913325299276,0.07537106783995899,1.0,8192,45657,45949,6058,5979174238
False,True,3,"[10.57556844400824,10.595053984987317,10.359145582013298]","[0.8042788809980266,0.8043777669954579,0.8040790100058075]","[9.771289563010214,9.790676217991859,9.55506657200749]",10.57556844400824,10.509922670336286,0.13093975465526203,0.8548470013545938,8192,40233,40284,6058,5979210861
True,False,3,"[4.132198206993053,4.121631564019481,4.221390692982823]","[0.9530887829896528,0.9528183200163767,0.9531283499964047]","[3.1791094240034,3.168813244003104,3.268262342986418]",4.132198206993053,4.158406821331785,0.05480090831408261,2.187816875938137,1024,33131,33165,6058,5979174233
True,True,3,"[4.531944332004059,4.534654610004509,4.499423664005008]","[0.9544558790221345,0.9545374629960861,0.9553485240030568]","[3.5774884529819246,3.5801171470084228,3.544075140001951]",4.531944332004059,4.522007535337859,0.019605097168695823,1.9948376038376754,1024,24395,25950,6058,5979210861
