vertical_optimization,horizontal_optimization,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,2.1119658469979186,2.107835235336097,0.025383938824473127,1.0,1024,23908,24051,707,19820888763
False,True,3,2.7506395500095095,2.7664314476811946,0.042060803622743954,0.7678090162670049,1024,23692,23725,707,19820897465
True,False,3,1.6802748719928786,1.6968568750016857,0.028886169685204473,1.256916878423014,128,22543,22554,707,19820887763
True,True,3,1.9834033749939408,2.0006613253305354,0.03028903819533528,1.0648191253604025,128,22326,22359,707,19820897465
