ranks_per_federate,compute_federates,wall_clock_seconds,scheduler_rounds,total_grants,simulated_makespan_ns,status
1,256,30.90770040699863,51212,54829,1006360889632,completed
2,128,23.174284448003164,51628,54730,1006360889315,completed
4,64,18.240550424001412,52417,55249,1006360888538,completed
8,32,14.875296457990771,53231,55907,1006360887283,completed
16,16,12.124658794986317,54457,56999,1006360884291,completed
32,8,10.439604948012857,56223,58592,1006360881966,completed
64,4,,,,,failed: GPUSim CloudSim Past event detected
