vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,startup_seconds,steady_wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[89.54091543497634,90.13934201098164,90.94031928601908]","[2.3070760819828138,2.255781522981124,2.3060101100127213]","[87.23383935299353,87.88356048800051,88.63430917600635]",90.13934201098164,90.20685891065902,0.7021407860143457,1.0,32768,1117671,1119194,4758,1006360865727
False,True,3,"[60.38435964498785,59.537737214996014,59.9646985619911]","[2.259578628989402,2.3084227569925133,2.307451275002677]","[58.12478101599845,57.2293144580035,57.65724728698842]",59.9646985619911,59.962265140658324,0.42331646069561113,1.503206789537951,32768,115613,115898,4758,1006360881966
True,False,3,"[37.79509535699617,37.978393104014685,38.331806864007376]","[2.556951415986987,2.606149927014485,2.606459280999843]","[35.238143941009184,35.3722431770002,35.72534758300753]",37.978393104014685,38.035098441672744,0.2728120817133023,2.37343749020948,4096,1069305,1069493,4758,1006360860972
True,True,3,"[10.607114170998102,10.694473954004934,10.568670909007778]","[2.607830768014537,2.6096963140007574,2.6067719139973633]","[7.999283402983565,8.084777640004177,7.961898995010415]",10.607114170998102,10.623419678003605,0.064467074554915,8.498008087575789,4096,56244,58592,4758,1006360881966
