critical_path_event_acceleration,active_dependency_coordination,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_all_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,control_plane_records,dependency_updates,simulated_makespan_ns,network_completion_count
false,false,3,13.94668649500818,14.04631073367394,0.17342838094398824,1.0,8192,64051,64834,34296,0,5617370535,17032
false,true,3,13.896147805993678,13.962833993001064,0.1158189074601193,1.0036368848201733,8192,64083,64101,34494,196,5617368443,17032
true,false,3,8.08916986300028,8.090571350670265,0.04819054131360026,1.7241183868322605,1024,51974,51989,19978,0,5617369518,17032
true,true,3,8.189491697994526,8.206067650656527,0.07624944236677796,1.702997818341216,1024,52018,52034,20174,196,5617368443,17032
