workload,category,ranks,source_operations,baseline_seconds,vertical_only_speedup,horizontal_only_speedup,both_speedup,makespan_relative_span
LULESH-64,HPC,64,11438062,12.795489488984458,2.4210407036761796,0.5513729780373099,1.1381630562542147,4.317304606545323e-06
HPCG-8,HPC,8,626216,1.8303919319878332,1.2802661451073338,0.736339679651582,1.0557991247022618,9.982249541790496e-07
ICON-8,HPC,8,295072,2.1119658469979186,1.256916878423014,0.7678090162670049,1.0648191253604025,4.894833857615135e-07
Grok-314B-256,LLM training,256,114000750,91.15321980899898,2.397013150268862,0.7204234843874079,1.576899253690222,2.84788491834974e-08
