vertical_optimization,horizontal_optimization,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,1.8303919319878332,1.847042575662878,0.029132506193435936,1.0,1024,9315,9435,840,4711358190
False,True,3,2.4857983109832276,2.471691987661567,0.03186501861918883,0.736339679651582,1024,9071,9108,840,4711362885
True,False,3,1.429696425999282,1.4296529386677623,7.718735277201606e-05,1.2802661451073338,128,7898,7913,840,4711358182
True,True,3,1.7336554740031715,1.7348505486637198,0.0022257554536522237,1.0557991247022618,128,7660,7697,840,4711362885
