vertical_optimization,horizontal_optimization,samples,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,12.795489488984458,12.761962713324465,0.05808861365833684,1.0,8192,64051,64834,17032,5617370535
False,True,3,23.206595169991488,23.181071633667063,0.09114167595550213,0.5513729780373099,8192,61637,61842,17032,5617393770
True,False,3,5.285119523003232,5.268680842321676,0.028927862913143858,2.4210407036761796,1024,51974,51989,17032,5617369518
True,True,3,11.242228799004806,11.235413200338371,0.033616061864449535,1.1381630562542147,1024,49554,49759,17032,5617393770
