vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,startup_seconds,steady_wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,asynchronous_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[2.0673291530110873,2.0675126720161643,2.016984923015116]","[0.45151790301315486,0.45173968200106174,0.45124766501248814]","[1.6158112499979325,1.6157729900151026,1.5657372580026276]",2.0673291530110873,2.0506089160141223,0.029119376688113433,1.0,1024,23908,24051,0,707,19820888763
False,True,3,"[1.7174214400001802,1.6823788119945675,1.7169951599789783]","[0.4518591719970573,0.4516977329913061,0.45167052699252963]","[1.2655622680031229,1.2306810790032614,1.2653246329864487]",1.7169951599789783,1.7055984706579086,0.020109943808864172,1.2040390102418217,1024,4753,4768,0,707,19820891178
True,False,3,"[1.7169129510002676,1.6669649750110693,1.6666059139824938]","[0.4516982339846436,0.4517150340252556,0.4514768999943044]","[1.265214717015624,1.2152499409858137,1.2151290139881894]",1.6669649750110693,1.683494613331277,0.028941686209075196,1.2401755189831505,128,22543,22554,0,707,19820887763
True,True,3,"[1.3164957239932846,1.3164371360035148,1.3477449489873834]","[0.45176859700586647,0.45178880501771346,0.45178734898217954]","[0.8647271269874182,0.8646483309858013,0.8959576000052039]",1.3164957239932846,1.3268926029947277,0.018058685117865247,1.570327282750546,128,2433,2976,0,707,19820891178
