vertical_optimization,horizontal_optimization,samples,wall_clock_seconds,startup_seconds,steady_wall_clock_seconds,wall_clock_median_seconds,wall_clock_mean_seconds,wall_clock_stdev_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count,simulated_makespan_ns
False,False,3,"[12.581912516005104,12.482574722002028,12.579794433986535]","[0.9529492240108084,0.9530634219991043,0.9533665269846097]","[11.628963291994296,11.529511300002923,11.626427907001926]",12.579794433986535,12.548093890664555,0.056751146812473834,1.0,8192,64027,64711,16920,5294062105
False,True,3,"[14.392528135009343,13.951476989983348,13.973642288998235]","[0.9539591110078618,0.9552569059887901,0.9546457369870041]","[13.438569024001481,12.996220083994558,13.018996552011231]",13.973642288998235,14.10588247133031,0.24848969294439618,0.9002516433307365,8192,60997,61059,16920,5294074703
True,False,3,"[5.272810759983258,5.342223463987466,5.322718226001598]","[1.2033652880054433,1.1532850039948244,1.2032275689998642]","[4.069445471977815,4.188938459992642,4.119490657001734]",5.322718226001598,5.312584149990774,0.03579881969756548,2.3634154392268893,1024,51630,51674,16920,5294060988
True,True,3,"[5.388373703986872,5.368683991982834,5.320220411987975]","[1.2047196589992382,1.205115933000343,1.2045583949948195]","[4.183654044987634,4.1635680589824915,4.115662016993156]",5.368683991982834,5.3590927026525605,0.03507438418325388,2.343180275235458,1024,39890,46723,16920,5294074703
